,Unnamed: 0,Title,Address,Longitude,Latitude,행정동,geometry,x,y
71,71,마메르,충남 천안시 서북구 성거읍 천흥리 197 1층,127.2113992,36.8707686,성거읍,POINT (974278.0128642744 1874760.3172567785),974278.0128642744,1874760.3172567785
72,72,커피바이블,충남 천안시 서북구 성정두정로 98 1층,127.1421503,36.83432633,부성1동,POINT (968090.9351578947 1870738.62747336),968090.9351578947,1870738.62747336
73,73,토아빈,충남 천안시 서북구 입장면 망향로 1094-22,127.2264233,36.90595284,입장면,POINT (975628.2483490414 1878659.4167236183),975628.2483490414,1878659.4167236183
74,74,오시유,충남 천안시 동남구 광덕면 해수길 178-40,127.0287697,36.67554936,광덕면,POINT (957894.1698331974 1853169.3920824397),957894.1698331974,1853169.3920824397
75,75,H카페,충남 천안시 서북구 한들1로 120,127.118869,36.83265492,백석동,POINT (966014.2193752157 1870561.242596798),966014.2193752157,1870561.242596798
76,76,피오르드,충남 천안시 동남구 먹거리8길 13,127.1545996,36.81731176,신안동,POINT (969194.2094768942 1868847.1073623553),969194.2094768942,1868847.1073623553
77,77,더쉘터,충남 천안시 서북구 성거읍 천흥4길 189-27,127.2257071,36.87008692,성거읍,POINT (975553.0119199893 1874680.9391293854),975553.0119199893,1874680.9391293854
78,78,택스처,충남 천안시 동남구 새말1길 57-5 1층,127.1318449,36.78853855,일봉동,POINT (967152.4546850523 1865662.8622257998),967152.4546850523,1865662.8622257998
79,79,호랭이카페,충남 천안시 동남구 광덕면 해수길 29 1동,127.0477181,36.67218098,광덕면,POINT (959585.5145115845 1852787.5937980642),959585.5145115845,1852787.5937980642
80,80,카페어젠,충남 천안시 동남구 먹거리3길 14 2층,127.154987,36.81764412,신안동,POINT (969228.8943183018 1868883.8514392613),969228.8943183018,1868883.8514392613
81,81,숨어반,충남 천안시 서북구 서부대로 446,127.128601,36.80688875,쌍용1동,POINT (966870.9299788929 1867699.570944433),966870.9299788929,1867699.570944433
82,82,카페르블랑,충남 천안시 서북구 원두정6길 2,127.1335492,36.83136599,부성2동,POINT (967322.7224541331 1870413.1409347786),967322.7224541331,1870413.1409347786
83,83,도펠하우스,충남 천안시 서북구 성거읍 명우리길 74,127.1757173,36.87777482,성거읍,POINT (971100.4395590957 1875547.7328151285),971100.4395590957,1875547.7328151285
84,84,한움,충남 천안시 서북구 불당34길 25-5 1층,127.1057791,36.80714724,불당2동,POINT (964835.3086590944 1867736.3943162712),964835.3086590944,1867736.3943162712
85,85,버터집,충남 천안시 서북구 나사렛대길 22-6 1층,127.119109,36.79860219,쌍용2동,POINT (966020.5720952917 1866783.670984225),966020.5720952917,1866783.670984225
86,86,화진담,충남 천안시 동남구 광덕면 보산원2길 30-4,127.0757379,36.68436795,광덕면,POINT (962095.2687316278 1854128.0328456475),962095.2687316278,1854128.0328456475
87,87,라운디,충남 천안시 서북구 월봉7길 36 1층,127.1159211,36.79017903,쌍용2동,POINT (965732.4255446255 1865850.4261159494),965732.4255446255,1865850.4261159494
88,88,키에소커피랩,충남 천안시 서북구 불당15길 16-1 1층,127.1072721,36.79930533,불당1동,POINT (964964.9134539332 1866865.9408432525),964964.9134539332,1866865.9408432525
89,89,제주미작,충남 천안시 동남구 신흥1길 58-1,127.1256573,36.78131633,신방동,POINT (966597.2477637557 1864863.8443259308),966597.2477637557,1864863.8443259308
90,90,스밀로우커피,충남 천안시 동남구 봉서9길 25 금탑빌딩 1층,127.1335669,36.81194248,봉명동,POINT (967316.0419490335 1868258.4740762431),967316.0419490335,1868258.4740762431
91,91,노마만리,충남 천안시 서북구 직산읍 금곡로 166,127.1003851,36.87366563,직산읍,POINT (964385.0175293396 1875117.3448077796),964385.0175293396,1875117.3448077796
92,92,앳니스,충남 천안시 동남구 구성12길 9 4동 1층,127.1606265,36.79645089,청룡동,POINT (969723.5301332086 1866531.082094118),969723.5301332086,1866531.082094118
93,93,브루어스커피,충남 천안시 동남구 먹거리9길 20,127.156082,36.8174658,신안동,POINT (969326.4846305011 1868863.7184658987),969326.4846305011,1868863.7184658987
94,94,오픈업커피와한방차,"충남 천안시 동남구 서부대로 523-9 1,2층",127.1290285,36.81404905,봉명동,POINT (966912.1449061291 1868493.7176332546),966912.1449061291,1868493.7176332546
95,95,카페메가트라움,충남 천안시 서북구 성거읍 성거탑골길 7 1층,127.2110951,36.87297774,성거읍,POINT (974251.6508765931 1875005.461878835),974251.6508765931,1875005.461878835
96,96,플레이스윤슬,충남 천안시 동남구 목천읍 서흥5길 6 2층,127.2321313,36.80778496,목천읍,POINT (976106.2119162121 1867768.1211374742),976106.2119162121,1867768.1211374742
97,97,까치,충남 천안시 동남구 목천읍 동평3길 60 2동 1층,127.2441842,36.7746155,목천읍,POINT (977171.4892378773 1864085.7005086574),977171.4892378773,1864085.7005086574
98,98,잇츠독,충남 천안시 동남구 먹거리9길 22 3층,127.1563285,36.81746377,신안동,POINT (969348.4688504615 1868863.4142221056),969348.4688504615,1868863.4142221056
99,99,이도로에커피,충남 천안시 동남구 병천면 충절로 1544 1층,127.2782659,36.76911361,병천면,POINT (980211.4654438188 1863467.7921411048),980211.4654438188,1863467.7921411048
100,100,카페흑,충남 천안시 동남구 북면 위례성로 824-36,127.2720335,36.83332128,북면,POINT (979672.2338566128 1870591.6415272506),979672.2338566128,1870591.6415272506
101,101,매주리커피,충남 천안시 서북구 성환읍 성환18길 24,127.1296337,36.92360722,성환읍,POINT (967013.2606098437 1880646.9551328968),967013.2606098437,1880646.9551328968
102,102,듀오0301,충남 천안시 동남구 목천읍 충절로 869,127.2075219,36.77212755,목천읍,POINT (973898.9649630882 1863819.085420231),973898.9649630882,1863819.085420231
103,103,구름정원,충남 천안시 동남구 호서대길 44,127.1857537,36.82628321,신안동,POINT (971976.0808504634 1869832.728440663),971976.0808504634,1869832.728440663
104,104,업성동커피집,충남 천안시 서북구 번영로 751,127.1413282,36.85931288,부성1동,POINT (968028.0345001953 1873510.6852493873),968028.0345001953,1873510.6852493873
105,105,부에노,충남 천안시 동남구 남부대로 336,127.154175,36.78120556,청룡동,POINT (969141.858584457 1864841.980944318),969141.858584457,1864841.980944318
106,106,라벤투라,충남 천안시 동남구 태조산길 120-5,127.1770433,36.81331044,원성1동,POINT (971194.4394399578 1868396.2431749075),971194.4394399578,1868396.2431749075
107,107,에스프레소이음,충남 천안시 동남구 통정10로 59 1층,127.1331436,36.77307226,신방동,POINT (967261.7502524678 1863946.7446821071),967261.7502524678,1863946.7446821071
108,108,데이오프,"충남 천안시 동남구 목천읍 서리1길 26 1,2층",127.234507,36.7895386,목천읍,POINT (976312.5058160753 1865743.464706302),976312.5058160753,1865743.464706302
109,109,달자커피,충남 천안시 서북구 서부역12길 16-11,127.1444537,36.81138512,성정1동,POINT (968286.8625272559 1868192.980010691),968286.8625272559,1868192.980010691
110,110,소요카페,충남 천안시 동남구 충절로 407-3,127.1689472,36.78482213,청룡동,POINT (970461.3818428216 1865238.5039989282),970461.3818428216,1865238.5039989282
111,111,오익커피,충남 천안시 서북구 차돌고개4길 44 1층,127.1323541,36.79842202,쌍용1동,POINT (967202.1002846196 1866759.0612232052),967202.1002846196,1866759.0612232052
112,112,에소,충남 천안시 동남구 태조산길 142-8,127.1787024,36.81428603,원성1동,POINT (971342.7840743065 1868503.967096779),971342.7840743065,1868503.967096779
113,113,무릉도원,충남 천안시 서북구 불당29길 7-9 1층,127.102313,36.81054359,불당2동,POINT (964527.6963184128 1868114.4330323527),964527.6963184128,1868114.4330323527
114,114,슬로우커피2,충남 천안시 동남구 천호지길 27,127.1732807,36.83604138,신안동,POINT (970867.4581035331 1870918.9374282055),970867.4581035331,1870918.9374282055
115,115,카페오후,충남 천안시 동남구 병천면 가전1길 257,127.292704,36.75832209,병천면,POINT (981497.394957298 1862267.81145883),981497.394957298,1862267.81145883
116,116,시온,충남 천안시 서북구 공단로 72,127.1266295,36.84538747,부성2동,POINT (966711.7512979717 1871970.9443974302),966711.7512979717,1871970.9443974302
117,117,곽스브라운,충남 천안시 서북구 오성로 115 프라지움9차 1층 115호,127.1402043,36.83059509,부성1동,POINT (967915.8536515636 1870325.3697695644),967915.8536515636,1870325.3697695644
118,118,카페위아,충남 천안시 서북구 안터길 49 2층,127.1590433,36.84381548,부성1동,POINT (969601.0263789679 1871785.7593391403),969601.0263789679,1871785.7593391403
